destinationIATA,isHub,isIntraEU
,False,False
OCA,False,False
,True,False
JCY,False,False
OTN,False,False
UTK,False,False
PQS,False,False
CSE,False,False
WLR,True,False
NUP,False,False
PTC,True,False
ICY,False,False
PPV,False,False
KKK,False,False
MHS,False,False
NIR,True,False
GCT,False,False
ELW,True,False
LVD,False,False
HGZ,False,False
TLF,False,False
BZT,False,False
HBH,False,False
FAK,False,False
BYW,False,False
DRF,False,False
BDF,False,False
TEH,False,False
VRS,False,False
GDH,False,False
DUF,False,False
AXB,False,False
REE,False,False
ATT,False,False
LIV,False,False
PDB,False,False
KOZ,False,False
TNK,False,False
WHD,True,False
MNT,False,False
TKI,False,False
WKK,False,False
WFB,False,False
NNK,False,False
BKF,False,False
BCS,False,False
MMN,False,False
SPQ,False,False
TSS,False,False
NYS,True,False
BWL,False,False
WYB,False,False
CWS,False,False
TEK,False,False
SSW,False,False
FOB,False,False
PUL,True,False
CCD,False,False
WMK,False,False
HIR,False,False
MUA,False,False
PPE,True,False
INU,False,False
CNT,False,False
PRQ,False,False
BUA,False,False
DAU,False,False
GKA,False,False
GUR,False,False
HKN,False,False
KMA,False,False
KVG,False,False
MAG,False,False
HGU,False,False
MAS,False,False
LAE,True,False
POM,True,False
RAB,False,False
VAI,False,False
WWK,False,False
UAK,False,False
CNP,False,False
GOH,False,False
JNS,False,False
NAQ,False,False
SFJ,True,False
JHS,False,False
THU,True,False
JUV,False,False
AEY,False,False
BIU,False,False
EGS,False,False
HFN,False,False
HZK,False,False
IFJ,False,False
KEF,True,False
PFJ,False,False
RKV,False,False
SIJ,False,False
THO,False,False
VEY,False,False
PRN,True,False
WDN,False,False
WWP,True,False
CHU,False,False
UGS,False,False
JID,False,False
PSQ,True,False
KLL,False,False
SGW,True,False
WTL,False,False
TWA,False,False
KCQ,False,False
ADC,False,False
AEK,False,False
AFR,False,False
AFT,False,False
RNA,False,False
ATD,False,False
GEF,False,False
AKS,False,False
BNY,False,False
CHY,False,False
BAS,False,False
FRE,False,False
MBU,False,False
AVU,False,False
IRA,False,False
SCZ,False,False
GZO,False,False
MNY,False,False
PRS,False,False
RNL,False,False
EGM,False,False
NNB,False,False
RUS,False,False
VAO,False,False
KGE,False,False
KUE,False,False
KWS,False,False
NAZ,False,False
GTA,False,False
RIN,False,False
RBV,False,False
AHJ,True,False
AIE,False,False
AIH,False,False
CEX,False,False
SOL,False,False
HED,False,False
TWE,False,False
KTH,False,False
NKI,True,False
LNI,False,False
CDL,False,False
AOS,True,False
BSW,False,False
ALZ,True,False
AMF,False,False
AMU,False,False
APR,False,False
QET,True,False
AQY,False,False
QRF,False,False
VGS,False,False
LMD,False,False
VCF,False,False
NCJ,False,False
CPG,False,False
OLN,False,False
,False,True
ATN,False,False
ATP,False,False
GYZ,False,False
KQR,False,False
HIS,False,False
AUI,False,False
AUJ,False,False
AUP,False,False
AUV,False,False
AXF,False,False
AXO,False,False
KPM,False,False
BRP,False,False
CMU,False,False
MDM,False,False
DOI,False,False
EMS,False,False
XYR,False,False
EPT,False,False
EGA,False,False
EMO,False,False
FRQ,False,False
FUM,False,False
PNP,False,False
HBD,False,False
HNI,False,False
HNN,False,False
HIT,False,False
IMN,False,False
KGM,False,False
KIE,False,False
IAL,False,False
LSA,False,False
UNG,False,False
KNE,False,False
KRX,False,False
LNV,False,False
LWI,False,False
LNG,False,False
LSJ,False,False
OBM,False,False
MDU,False,False
MXH,False,False
MIS,False,False
KSB,False,False
NMN,False,False
KGB,False,False
OKP,False,False
HOC,False,False
OPB,False,False
PGB,False,False
MPF,False,False
PMN,False,False
RMN,False,False
KMR,False,False
MRH,False,False
MBV,False,False
TIZ,False,False
TBG,False,False
TSW,False,False
TRJ,False,False
TWY,False,False
TKB,False,False
AYU,False,False
UMC,False,False
URU,False,False
UVO,False,False
TLW,False,False
TCJ,False,False
TON,False,False
WAO,False,False
WBM,False,False
WOA,False,False
SMJ,False,False
FZL,True,False
HAE,False,False
AZB,False,False
AZJ,False,False
BCP,False,False
ILL,False,False
BDZ,False,False
JAM,True,True
JEG,False,False
JAV,False,False
KUS,False,False
JSU,False,False
JFR,False,False
PQT,False,False
JQA,False,False
BHT,False,False
BLO,False,False
GJR,False,False
GRY,False,False
HVK,False,False
SAK,False,False
NOR,False,False
RFN,False,False
SYK,False,False
TEY,False,False
VPN,False,False
BMH,False,False
BMZ,False,False
BNF,True,False
BNT,False,False
RBQ,False,False
BOF,False,False
BOK,False,False
BOT,False,False
BOV,False,False
BPF,False,False
BQV,True,False
VDC,False,False
JNN,False,False
AAD,False,False
ABP,False,False
ACM,False,False
ADV,False,False
DJH,False,False
AEE,False,False
AEQ,False,False
KHT,False,False
URZ,False,False
OLR,False,False
AFK,False,False
VEV,False,False
AGG,False,False
XYA,False,False
AGK,False,False
AGL,False,False
MHM,False,False
TLG,False,False
AGY,False,False
AHY,False,False
AIC,False,False
AKM,False,False
AME,False,False
AMY,False,False
ANZ,False,False
CTV,False,False
ANL,False,False
CNZ,False,False
DRC,False,False
KNP,False,False
NDF,False,False
AOB,False,False
AOD,False,False
APP,False,False
CVI,False,False
ARP,False,False
ASZ,False,False
LYT,False,False
ABH,False,False
AGW,False,False
AYD,False,False
BYX,False,False
COB,False,False
CRJ,False,False
CRY,False,False
CSD,False,False
DYM,False,False
HLV,False,False
KBD,False,False
KGR,False,False
MYO,False,False
OKB,False,False
PEP,False,False
RDA,False,False
SSK,False,False
SWB,False,False
TPR,False,False
TWP,False,False
ZVG,False,False
AWE,False,False
KPF,False,False
DNU,False,False
ERU,False,False
MFZ,False,False
FAQ,False,False
GUG,False,False
GRL,False,False
GAP,False,False
GBC,False,False
IMD,False,False
WIU,False,False
KGH,False,False
KPA,False,False
KRI,False,False
KUQ,False,False
LAB,False,False
LPN,False,False
AYM,False,False
MRM,False,False
GUV,False,False
MWG,False,False
NKN,False,False
GBF,False,False
MFO,False,False
NBA,False,False
KCJ,False,False
KDE,False,False
PGN,False,False
SPH,False,False
SXA,False,False
MWI,False,False
SBE,False,False
NIS,False,False
SIL,False,False
SBV,False,False
SIM,False,False
SBC,False,False
SPV,False,False
SXW,False,False
TPI,False,False
TKW,False,False
TEP,False,False
UPR,False,False
WAJ,False,False
WKN,False,False
WSU,False,False
WTP,False,False
WUG,False,False
YVD,False,False
WEP,False,False
AYY,False,False
KYX,False,False
KSX,False,False
WUM,False,False
ZXT,False,False
BAJ,False,False
BCW,False,False
BCZ,False,False
HKV,False,True
AOQ,False,False
AGM,False,False
QGQ,False,False
JCH,False,False
QFG,False,False
JGO,False,False
IKE,False,False
QFI,False,False
QRY,False,False
XIQ,False,False
IUI,False,False
IOQ,False,False
QJI,False,False
JJU,False,False
QPW,False,False
KUZ,False,False
KHQ,False,False
KGQ,False,False
QJE,False,False
IOT,False,False
JUU,False,False
NIQ,False,False
NSQ,False,False
QJH,False,False
OBY,False,False
SRK,False,False
QOQ,False,False
SAE,False,False
SVR,False,False
TQA,False,False
TQI,False,False
UMD,False,False
JUK,False,False
BHL,False,False
BGJ,False,False
BJD,False,False
BQD,False,False
BXV,False,False
DJU,False,False
FAS,False,False
FAG,False,False
GUU,False,False
FLI,False,False
HVM,False,False
HLO,False,False
OPA,False,False
OFJ,False,False
RHA,False,False
OLI,False,False
MVA,False,False
BJE,False,False
BJQ,False,False
BJT,False,False
BMQ,False,False
BNM,False,False
BVL,False,False
CJZ,False,False
PYS,False,False
YZZ,False,False
YMB,False,False
YCA,False,False
CFQ,False,False
YAA,False,False
DGF,False,False
DUQ,False,False
XQU,False,False
YZA,False,False
ZEL,False,False
YPB,False,False
TUX,False,False
ZFW,False,False
YJP,False,False
YDC,False,False
NML,False,False
ZSP,False,False
YFI,False,False
TIL,False,False
YTT,False,False
YPD,False,False
XBR,False,False
YEB,False,False
YSA,False,False
YLS,False,False
SSQ,False,False
ZGS,False,False
ALT,False,False
BSP,False,False
BTZ,False,False
BUL,False,False
BWP,False,False
BXZ,False,False
TXC,True,False
BYA,False,False
CZH,False,False
PLJ,False,False
PND,False,False
SJX,False,False
SPR,False,False
SVK,False,False
YMV,False,False
CJH,False,False
JHL,False,False
YHS,False,False
YMP,False,False
YBO,False,False
YWM,False,False
YSO,False,False
YBI,False,False
YHG,False,False
YFX,False,False
YHA,False,False
YRG,False,False
JOJ,True,False
CFM,False,False
YOE,False,False
CGA,True,False
CGC,False,False
CHP,False,False
LRQ,False,False
YDJ,False,False
YDU,False,False
XCL,False,False
YKE,False,False
SUR,False,False
CKD,False,False
YAX,False,False
WNN,False,False
YBS,False,False
YNO,False,False
CKU,False,False
CKX,False,False
WCH,False,False
CMT,False,False
TVS,True,False
ZQZ,True,False
BSD,False,False
LNJ,False,False
RKZ,True,False
PZI,True,False
FUO,True,False
BZX,True,False
XAI,True,False
HUZ,False,False
HSC,True,False
JGS,True,False
AEB,True,False
LYG,True,False
DOY,True,False
AAT,False,False
THQ,True,False
YZY,True,False
DWS,False,False
NAY,True,False
DDG,True,False
CBZ,False,False
HQL,True,False
ZHA,True,False
ZFL,True,False
NTG,True,False
XBE,False,False
KIF,False,False
YOG,False,False
TCD,False,False
YHP,False,False
KEW,False,False
KFM,False,False
YKU,False,False
ZTB,False,False
ZKG,False,False
CTP,False,False
YAU,False,False
YFG,False,False
NSB,False,False
BSV,False,False
BVR,False,False
HUK,False,False
BWJ,False,False
BXL,False,False
BYL,False,False
BYV,False,False
BCV,False,False
BGK,False,False
CUK,False,False
CYC,False,False
DGA,False,False
INB,False,False
MDB,False,False
ORZ,False,False
SQS,False,False
STU,False,False
TZA,False,False
BZB,False,False
BZM,False,False
YSV,False,False
YRR,False,False
YHC,False,False
YBW,False,False
YTP,False,False
ZNA,False,False
YHH,False,False
YWS,False,False
YBF,False,False
YIG,False,False
YPT,False,False
ZOF,False,False
ZTS,False,False
YKK,False,False
ZQS,False,False
WPL,False,False
YRN,False,False
YTG,False,False
YMU,False,False
YSX,False,False
YGG,False,False
YTB,False,False
CBC,False,False
TNS,False,False
KGN,False,False
DVK,False,False
YLE,False,False
KWD,False,False
GSL,False,False
XMP,False,False
DAS,False,False
YFJ,False,False
OKG,False,False
CGG,False,False
GHK,False,False
CIV,False,False
YFL,False,False
CKR,False,False
YDW,False,False
CMZ,False,False
YUA,False,False
DZU,False,False
ZKL,False,False
DFA,False,False
XEN,False,False
LCT,False,False
WHN,False,False
PNJ,False,False
DDR,False,False
JDE,False,False
HLJ,False,False
TYC,False,False
YEH,False,False
LFH,False,False
YNP,False,False
YWR,False,False
LCR,False,False
SNT,False,False
CPI,False,False
YSI,False,False
ACO,False,False
XVQ,False,False
YNX,False,False
YWQ,False,False
TR7,False,False
ZLT,False,False
YAB,False,False
YAG,False,False
YAM,False,False
YAY,False,False
YAZ,False,False
YBA,False,False
YBB,False,False
YBC,False,False
QBC,False,False
YBE,False,False
YBY,False,False
YBG,True,False
YBK,False,False
YBL,False,False
YBR,False,False
YBX,False,False
YCB,False,False
YCC,False,False
YCD,False,False
YCE,False,False
YCG,False,False
YCH,False,False
XCM,False,False
YCL,False,False
YCN,False,False
YCO,False,False
YCQ,False,False
YCT,False,False
YCW,False,False
YCY,False,False
YCZ,False,False
YDA,False,False
YDB,False,False
YDF,True,False
YDL,False,False
YDN,False,False
YDO,False,False
YDQ,False,False
YEG,True,False
YEK,False,False
YEL,False,False
YEM,False,False
YEN,False,False
YET,False,False
YEU,False,False
YEV,False,False
YEY,False,False
YFB,True,False
YFC,True,False
YFE,False,False
YTM,False,False
YFO,False,False
YFR,False,False
YFS,False,False
YGB,False,False
YGH,False,False
YGK,False,False
YGL,False,False
YGM,False,False
YGP,False,False
YGQ,False,False
YGR,False,False
YGV,False,False
YHB,False,False
YHD,False,False
YHE,False,False
YHF,False,False
YHI,False,False
YHK,False,False
YHM,False,False
YHN,False,False
YHR,False,False
YHU,False,False
YHY,False,False
YHZ,True,False
YIB,False,False
YDG,False,False
YIF,False,False
YIK,False,False
YIO,False,False
YJN,False,False
YJT,False,False
YKA,False,False
LAK,False,False
YKF,False,False
YKL,False,False
YKD,False,False
AKV,False,False
YKX,False,False
YKY,False,False
YKZ,False,False
YLB,False,False
YLD,False,False
YLJ,False,False
YLL,False,False
YLQ,False,False
YLR,False,False
YLK,False,False
YLT,False,False
YLW,True,False
YMA,False,False
YME,False,False
YMG,False,False
YMJ,False,False
YML,False,False
YMM,False,False
YMO,False,False
YMT,False,False
YMW,False,False
YMX,True,False
YNA,False,False
YND,False,False
YNH,False,False
YLY,False,False
YNM,False,False
YOA,False,False
YOC,False,False
YOD,True,False
YOJ,False,False
YOO,False,False
YOP,False,False
YOS,False,False
YOW,False,False
YPA,False,False
YPC,False,False
YPS,False,False
YPE,False,False
YPG,False,False
YPL,False,False
YPN,False,False
YPQ,False,False
YPR,False,False
YPW,False,False
YPX,False,False
YPY,False,False
YPZ,False,False
YQA,False,False
YQB,True,False
YQD,False,False
YQF,False,False
YQG,True,False
YQH,False,False
YQI,False,False
YQK,False,False
YQL,False,False
YQM,True,False
YQN,False,False
YQQ,True,False
YQR,False,False
YQS,False,False
YQT,False,False
YQU,False,False
YQV,False,False
YQW,False,False
YQX,True,False
YQY,False,False
YQZ,False,False
YRB,False,False
YRI,False,False
YRJ,False,False
YRL,False,False
YRM,False,False
YRO,False,False
YRQ,True,False
YRT,False,False
YRV,False,False
YSB,False,False
YSC,False,False
YSE,False,False
YSH,False,False
YSJ,False,False
YSL,False,False
YSM,False,False
YCM,False,False
YSP,False,False
YSU,True,False
YSY,False,False
YTA,False,False
YTE,False,False
YTF,False,False
YTH,False,False
YTR,True,False
YTS,False,False
YTZ,False,False
YUB,False,False
YUL,True,False
YUT,False,False
YUX,False,False
YUY,False,False
YVB,False,False
YVC,False,False
YVG,False,False
YVE,False,False
YVM,False,False
YVO,True,False
YVP,False,False
YVQ,False,False
YVR,True,False
YVT,False,False
YVV,False,False
YWA,False,False
YWG,False,False
YWK,False,False
YWL,False,False
YWY,False,False
YXC,False,False
YXE,True,False
YXH,False,False
YXJ,False,False
YXK,False,False
YXL,False,False
YXP,False,False
YXR,False,False
YXS,False,False
YXT,False,False
YXU,False,False
YXX,False,False
YXY,False,False
YXZ,False,False
YYB,True,False
YYC,False,False
YYD,False,False
YYE,False,False
YYF,False,False
YYG,False,False
YYH,False,False
YYJ,False,False
YYL,False,False
YYN,False,False
YYQ,False,False
YYR,True,False
YYT,False,False
YYU,False,False
YYW,False,False
YYY,False,False
YYZ,True,False
YZE,False,False
YZF,False,False
YZH,False,False
YZP,False,False
YZR,False,False
YZS,False,False
YZT,False,False
YZU,False,False
YZV,False,False
YZW,False,False
YZX,True,False
YSN,False,False
YDT,False,False
ZBF,False,False
ZBM,False,False
ZFA,False,False
ZFM,False,False
ZFN,False,False
ZGF,False,False
ZHP,False,False
ZJN,False,False
ZMH,False,False
ZMT,False,False
WPC,False,False
ZST,False,False
ZUC,False,False
ZUM,False,False
IUA,False,False
BUJ,False,False
BJA,False,False
ALG,True,False
DJG,False,False
VVZ,True,False
TMR,True,False
GJL,False,False
AAE,False,False
CZL,False,False
TEE,True,False
BLJ,True,False
TID,True,False
CFK,False,False
TAF,True,False
TLM,True,False
ORN,True,False
MUW,False,False
AZR,True,False
ELG,False,False
GHA,True,False
HME,False,False
INZ,True,False
TGR,True,False
ELU,False,False
TMX,True,False
