OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y,standard_name,runway_length_m,runway_width_m,runway_capacity,continent_name,hub_priority_score,distance_from_ams_km,strategic_distance
640,7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,nan,US,US-AK,Pilot Station,yes,nan,PQS,0AK,nan,https://en.wikipedia.org/wiki/Pilot_Station_Airport,nan,nan,,2541.0,55.0,GRVL-F,1.0,0.0,-18133944.3823,8843652.231,Pilot Station,774.4968,16.764,small,,3,7259.866508685415,intercontinental
1520,7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,nan,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,nan,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,nan,nan,,2420.0,75.0,GRVL-G,1.0,0.0,-18082788.6235,8604177.6376,Nunapitchuk,737.616,22.86,small,,3,7369.571880855768,intercontinental
3919,10309,38WA,small_airport,Blakely Island Airport,48.578999,-122.825996,66.0,nan,US,US-WA,Blakely Island,yes,38WA,BYW,38WA,nan,nan,nan,nan,,2200.0,40.0,ASPH,1.0,0.0,-13672927.3309,6203725.917,Blakely Island,670.5600000000001,12.192,small,,3,7752.200772605088,intercontinental
5495,11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17.0,nan,US,US-AK,Atmautluak,yes,nan,ATT,4A2,nan,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK,nan,,3000.0,75.0,GRAVEL-G,1.0,0.0,-18064147.2842,8595279.3373,Atmautluak,914.4000000000001,22.86,small,,3,7372.517156918811,intercontinental
5657,11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55.0,nan,US,US-AK,Ouzinkie,yes,nan,KOZ,4K5,nan,https://en.wikipedia.org/wiki/Ouzinkie_Airport,nan,nan,,3300.0,80.0,GRVL-G,1.0,0.0,-16972249.7986,7955163.117,Ouzinkie,1005.84,24.384,small,,3,7578.814567436563,intercontinental
6443,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,nan,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,nan,https://en.wikipedia.org/wiki/Aleknagik_Airport,nan,nan,,2040.0,80.0,GRVL-DIRT-F,0.0,0.0,-17657274.5694,8241720.0056,Aleknagik / New,621.792,24.384,small,,4,7512.101628063416,intercontinental
8402,14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62.0,nan,US,US-AK,Tatitlek,yes,PAKA,TEK,7KA,nan,https://en.wikipedia.org/wiki/Tatitlek_Airport,nan,nan,,3701.0,75.0,GRVL-E,1.0,0.0,-16329489.1664,8596365.533,Tatitlek,1128.0648,22.86,small,,3,7173.1902374741785,intercontinental
10024,45229,AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,71.0,nan,MX,MX-SON,Puerto Peñasco,yes,MMPE,PPE,AMC,https://www.aeropuertomardecortes.com/,https://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,nan,Tower not yet operational,122.8,8398.0,,concrete,0.0,0.0,-12613074.6079,3678546.2212,Mar de Cortés,2559.7104,,medium,,3,8947.859060046963,global
10487,15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244.0,nan,US,US-AK,Chuathbaluk,yes,PACH,CHU,9A3,nan,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,nan,nan,,3401.0,60.0,GRVL-E,1.0,0.0,-17723844.3801,8760023.167,Chuathbaluk,1036.6248,18.288,small,,3,7267.268632735784,intercontinental
10916,16069,9Z8,small_airport,Levelock Airport,59.12606,-156.860906,39.0,nan,US,US-AK,Levelock,yes,nan,KLL,9Z8,nan,https://en.wikipedia.org/wiki/Levelock_Airport,nan,nan,,3281.0,59.0,GRVL-F,1.0,0.0,-17461676.1813,8207683.3171,Levelock,1000.0488,17.9832,small,,3,7509.451619347953,intercontinental
