iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
EIN,Eindhoven Airport,Eindhoven,large_airport,51.4500999451,5.37452983856,74.0,Europe,NL,NL-NB,Eindhoven,3000.1464,45.110400000000006,large,8,107.00281259604537,regional
LUX,Luxembourg-Findel International Airport,Luxembourg-Findel,large_airport,49.6233333,6.2044444,1234.0,Europe,LU,LU-L,Luxembourg,4002.0240000000003,45.110400000000006,large,8,318.41514744294324,regional
STN,London Stansted Airport,London Stansted,large_airport,51.884998,0.235,348.0,Europe,GB,GB-ENG,London,3048.9144,46.0248,large,8,323.1627256805366,regional
FRA,Frankfurt Airport,Frankfurt,large_airport,50.036521,8.561268,364.0,Europe,DE,DE-HE,Frankfurt am Main,3999.8904,60.0456,large,8,363.3829080705203,regional
HAM,Hamburg Helmut Schmidt Airport,Hamburg Helmut Schmidt,large_airport,53.630402,9.98823,53.0,Europe,DE,DE-HH,Hamburg,3250.0824000000002,45.72,large,8,367.9628567534633,regional
LHR,London Heathrow Airport,London Heathrow,large_airport,51.4706,-0.461941,83.0,Europe,GB,GB-ENG,London,3901.1352,49.9872,large,8,381.18935273136555,regional
CDG,Charles de Gaulle International Airport,Charles de Gaulle,large_airport,49.012798,2.55,392.0,Europe,FR,FR-IDF,Paris,4215.0792,45.110400000000006,large,8,408.18027533115725,regional
BHX,Birmingham International Airport,Birmingham,large_airport,52.453899,-1.74803,327.0,Europe,GB,GB-ENG,Birmingham,3051.9624000000003,45.110400000000006,large,8,451.1467352394729,regional
BLL,Billund Airport,Billund,large_airport,55.740496,9.160452,247.0,Europe,DK,DK-83,Billund,3100.4256,45.110400000000006,large,8,466.5593172458192,regional
MAN,Manchester Airport,Manchester,large_airport,53.349375,-2.279521,257.0,Europe,GB,GB-ENG,Manchester,3048.0,45.110400000000006,large,8,494.26251756719705,regional
STR,Stuttgart Airport,Stuttgart,large_airport,48.689899,9.22196,1276.0,Europe,DE,DE-BW,Stuttgart,3344.8752,45.110400000000006,large,8,510.0853066741097,continental
LEJ,Leipzig/Halle Airport,Leipzig/Halle,large_airport,51.420657,12.232705,465.0,Europe,DE,DE-SN,Schkeuditz,3599.9928,45.110400000000006,large,8,513.5548708050744,continental
BER,Berlin Brandenburg Airport,Berlin Brandenburg,large_airport,52.362247,13.500672,157.0,Europe,DE,DE-BR,Berlin,3599.9928,45.110400000000006,large,8,583.3550891360493,continental
CPH,Copenhagen Kastrup Airport,Copenhagen Kastrup,large_airport,55.617900848389,12.656000137329,17.0,Europe,DK,DK-84,Copenhagen,3599.9928,45.110400000000006,large,8,621.8472814360058,continental
MUC,Munich Airport,Munich,large_airport,48.353802,11.7861,1487.0,Europe,DE,DE-BY,Munich,3999.8904,60.0456,large,8,660.9319222086473,continental
GVA,Geneva Cointrin International Airport,Geneva Cointrin,large_airport,46.238098,6.10895,1411.0,Europe,CH,CH-GE,Geneva,3899.916,49.9872,large,8,687.1183049633123,continental
GOT,Gothenburg-Landvetter Airport,Gothenburg-Landvetter,large_airport,57.662799835205,12.279800415039,506.0,Europe,SE,SE-Q,Gothenburg,3298.8504000000003,45.110400000000006,large,8,752.6480032592237,continental
DUB,Dublin Airport,Dublin,large_airport,53.428713,-6.262121,242.0,Europe,IE,IE-D,Dublin,3109.8744,45.110400000000006,large,8,757.4163371522595,continental
MXP,Milan Malpensa International Airport,Milan Malpensa,large_airport,45.6306,8.72811,768.0,Europe,IT,IT-25,Ferno (VA),3920.0328000000004,60.0456,large,8,799.0881806992616,continental
TRN,Turin Airport,Turin,large_airport,45.200802,7.64963,989.0,Europe,IT,IT-21,Caselle Torinese (TO),3300.0696000000003,60.0456,large,8,821.7464871236876,continental
VRN,Verona Villafranca Valerio Catullo Airport,Verona Villafranca Valerio Catullo,large_airport,45.394955,10.887303,239.0,Europe,IT,IT-34,Caselle (VR),3067.5072,45.110400000000006,large,8,889.5393259162589,continental
BOD,Bordeaux-Mérignac Airport,Bordeaux-Mérignac,large_airport,44.8283,-0.715556,162.0,Europe,FR,FR-NAQ,Bordeaux/Mérignac,3100.1208,45.110400000000006,large,8,933.9725934004048,continental
SNN,Shannon Airport,Shannon,large_airport,52.702,-8.92482,46.0,Europe,IE,IE-CE,Shannon,3198.876,45.110400000000006,large,8,934.6538874398213,continental
OSL,"Oslo Airport, Gardermoen","Oslo, Gardermoen",large_airport,60.193901,11.1004,681.0,Europe,NO,NO-30,Oslo,3599.9928,45.110400000000006,large,8,949.6086086163439,continental
VIE,Vienna International Airport,Vienna,large_airport,48.110298,16.5697,600.0,Europe,AT,AT-9,Vienna,3500.0184000000004,45.110400000000006,large,8,953.57919307154,continental
LJU,Ljubljana Jože Pučnik Airport,Ljubljana Jože Pučnik,large_airport,46.223701,14.4576,1273.0,Europe,SI,SI-012,Zgornji Brnik,3300.0696000000003,45.110400000000006,large,8,971.4471383814906,continental
MRS,Marseille Provence Airport,Marseille Provence,large_airport,43.438088,5.2125,74.0,Europe,FR,FR-PAC,Marseille,3500.0184000000004,45.110400000000006,large,8,993.1800141111322,continental
TLS,Toulouse-Blagnac Airport,Toulouse-Blagnac,large_airport,43.629101,1.36382,499.0,Europe,FR,FR-OCC,Toulouse/Blagnac,3000.1464,45.110400000000006,large,8,1006.4293441751386,continental
ZAG,Zagreb Airport,Zagreb,large_airport,45.742901,16.0688,353.0,Europe,HR,HR-21,Zagreb,3251.9112,45.110400000000006,large,8,1095.2827267557664,continental
ARN,Stockholm-Arlanda Airport,Stockholm-Arlanda,large_airport,59.651901245117,17.918600082397,137.0,Europe,SE,SE-AB,Stockholm,3300.9840000000004,45.110400000000006,large,8,1141.0353230237697,continental
BUD,Budapest Liszt Ferenc International Airport,Budapest Liszt Ferenc,large_airport,47.43018,19.262393,495.0,Europe,HU,HU-BU,Budapest,3706.9776,45.110400000000006,large,8,1162.921117349795,continental
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome–Fiumicino Leonardo da Vinci,large_airport,41.804532,12.251998,13.0,Europe,IT,IT-62,Rome,3306.7752,44.805600000000005,large,8,1298.0507420748852,continental
RIX,Riga International Airport,Riga,large_airport,56.923599,23.9711,36.0,Europe,LV,LV-062,Riga,3200.0952,45.110400000000006,large,8,1321.7057800756602,continental
PMI,Palma de Mallorca Airport,Palma de Mallorca,large_airport,39.551701,2.73881,27.0,Europe,ES,ES-IB,Palma de Mallorca,3269.8944,45.110400000000006,large,8,1434.685921987548,continental
SCQ,Santiago-Rosalía de Castro Airport,Santiago-Rosalía de Castro,large_airport,42.896301,-8.41514,1213.0,Europe,ES,ES-GA,Santiago de Compostela,3200.0952,45.110400000000006,large,8,1446.4942562465217,continental
TLL,Lennart Meri Tallinn Airport,Lennart Meri Tallinn,large_airport,59.4132995605,24.8327999115,131.0,Europe,EE,EE-37,Tallinn,3479.9016,45.110400000000006,large,8,1460.37435009575,continental
MAD,Adolfo Suárez Madrid–Barajas Airport,Adolfo Suárez Madrid–Barajas,large_airport,40.471926,-3.56264,1998.0,Europe,ES,ES-MD,Madrid,3500.0184000000004,60.0456,large,8,1471.0234061712451,continental
HEL,Helsinki Vantaa Airport,Helsinki Vantaa,large_airport,60.3172,24.963301,179.0,Europe,FI,FI-18,Helsinki,3059.8872,60.0456,large,8,1509.8839163265998,continental
BRI,Bari Karol Wojtyła Airport,Bari Karol Wojtyła,large_airport,41.138901,16.760599,193.0,Europe,IT,IT-75,Bari,3000.1464,45.110400000000006,large,8,1536.8192791875372,continental
OPO,Francisco de Sá Carneiro Airport,Francisco de Sá Carneiro,large_airport,41.2481002808,-8.68138980865,228.0,Europe,PT,PT-13,Porto,3479.9016,45.110400000000006,large,8,1606.3465753995008,continental
SOF,Sofia Airport,Sofia,large_airport,42.696357,23.417671,1742.0,Europe,BG,BG-22,Sofia,3599.9928,44.805600000000005,large,8,1748.768078943832,continental
OTP,Bucharest Henri Coandă International Airport,Bucharest Henri Coandă,large_airport,44.572127,26.103396,314.0,Europe,RO,RO-IF,Otopeni,3500.3232000000003,45.110400000000006,large,8,1777.6874324818816,continental
LIS,Humberto Delgado Airport (Lisbon Portela Airport),Humberto Delgado (Lisbon Portela),large_airport,38.7813,-9.13592,374.0,Europe,PT,PT-11,Lisbon,3706.9776,45.110400000000006,large,8,1857.5000769740986,continental
SKG,Thessaloniki Macedonia International Airport,Thessaloniki Macedonia,large_airport,40.51928,22.970009,22.0,Europe,GR,GR-B,Thessaloniki,3439.9728,49.9872,large,8,1901.0341875033507,continental
BOJ,Burgas Airport,Burgas,large_airport,42.5695991516113,27.5151996612549,135.0,Europe,BG,BG-02,Burgas,3200.0952,45.110400000000006,large,8,2005.764032406624,intercontinental
IST,İstanbul Airport,İstanbul,large_airport,41.261297,28.741951,325.0,Europe,TR,TR-34,"Arnavutköy, Istanbul",3749.9544,44.805600000000005,large,8,2178.299524348537,intercontinental
ATH,Athens Eleftherios Venizelos International Airport,Athens Eleftherios Venizelos,large_airport,37.936401,23.9445,308.0,Europe,GR,GR-I,Spata-Artemida,3799.9416,45.110400000000006,large,8,2178.6072731518752,intercontinental
AMS,Amsterdam Airport Schiphol,Amsterdam Schiphol,large_airport,52.308601,4.76389,-11.0,Europe,NL,NL-NH,Amsterdam,2019.9096000000002,45.110400000000006,medium,7,11.56638559559053,regional
BRU,Brussels Airport,Brussels,large_airport,50.901402,4.48444,175.0,Europe,BE,BE-BRU,Zaventem,2987.04,49.9872,medium,7,165.5856753344714,regional
DUS,Düsseldorf Airport,Düsseldorf,large_airport,51.289501,6.76678,147.0,Europe,DE,DE-NW,Düsseldorf,2699.9184,45.110400000000006,medium,7,175.36334614681058,regional
OST,Oostende-Brugge International Airport,Oostende-Brugge,medium_airport,51.1998,2.874673,13.0,Europe,BE,BE-VWV,Oostende,3200.0952,45.110400000000006,large,7,190.64457901215687,regional
CRL,Brussels South Charleroi Airport,Brussels South Charleroi,medium_airport,50.460982,4.457158,614.0,Europe,BE,BE-WHT,Charleroi,3055.0104,45.110400000000006,large,7,214.25889084197226,regional
CGN,Cologne Bonn Airport,Cologne Bonn,large_airport,50.865898,7.14274,302.0,Europe,DE,DE-NW,Köln (Cologne),2458.8216,45.110400000000006,medium,7,227.5140456783911,regional
HHN,Frankfurt-Hahn Airport,Frankfurt-Hahn,medium_airport,49.9487,7.26389,1649.0,Europe,DE,DE-RP,Frankfurt am Main (Lautzenhausen),3799.9416,45.110400000000006,large,7,315.28120287731906,regional
LTN,London Luton Airport,London Luton,large_airport,51.874699,-0.368333,526.0,Europe,GB,GB-ENG,"Luton, Bedfordshire",2161.9464000000003,45.72,medium,7,364.0286834674987,regional
LGW,London Gatwick Airport,London Gatwick,large_airport,51.148771,-0.192089,202.0,Europe,GB,GB-ENG,"Gatwick, Surrey",2560.9296,45.110400000000006,medium,7,375.92851520833716,regional
XCR,Châlons-Vatry Airport,Châlons-Vatry,medium_airport,48.77333,4.20611,587.0,Europe,FR,FR-GES,Bussy-Lettrée,3859.9872,45.110400000000006,large,7,402.68766009448296,regional
ORY,Paris-Orly Airport,Paris-Orly,large_airport,48.72333,2.37944,291.0,Europe,FR,FR-IDF,Paris,2399.9952000000003,60.0456,medium,7,442.6847786641978,regional
NUE,Nuremberg Airport,Nuremberg,large_airport,49.498699,11.078056,1046.0,Europe,DE,DE-BY,Nuremberg,2699.9184,45.110400000000006,medium,7,537.2454441838419,continental
ZRH,Zürich Airport,Zürich,large_airport,47.458056,8.548056,1417.0,Europe,CH,CH-ZH,Zurich,2499.9696,60.0456,medium,7,604.8749977895422,continental
EDI,Edinburgh Airport,Edinburgh,large_airport,55.950145,-3.372288,135.0,Europe,GB,GB-SCT,Edinburgh,2556.0528,45.72,medium,7,669.4023469240998,continental
PRG,Václav Havel Airport Prague,Václav Havel Prague,large_airport,50.103514,14.256992,1247.0,Europe,CZ,CZ-PR,Prague,2119.884,60.0456,medium,7,697.5005017315793,continental
