STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,rep_airp,Reporting airport,schedule,Type of schedule,tra_cov,Transport coverage,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,TOTAL,Total transport,2023,,739256,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWI,INNSBRUCK airport,TOT,Total,TOTAL,Total transport,2023,,912901,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWK,KLAGENFURT airport,TOT,Total,TOTAL,Total transport,2023,,155340,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWL,LINZ airport,TOT,Total,TOTAL,Total transport,2023,,237256,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWS,SALZBURG airport,TOT,Total,TOTAL,Total transport,2023,,1629493,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWW,WIEN-SCHWECHAT airport,TOT,Total,TOTAL,Total transport,2023,,29794713,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BE_EBAW,ANTWERPEN/DEURNE airport,TOT,Total,TOTAL,Total transport,2023,,239351,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BE_EBBR,BRUSSELS airport,TOT,Total,TOTAL,Total transport,2023,,22184622,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BE_EBCI,CHARLEROI/BRUSSELS SOUTH airport,TOT,Total,TOTAL,Total transport,2023,,9383810,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BE_EBLG,LIEGE airport,TOT,Total,TOTAL,Total transport,2023,,166609,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BE_EBOS,OOSTENDE/BRUGGE airport,TOT,Total,TOTAL,Total transport,2023,,375764,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BG_LBBG,BURGAS airport,TOT,Total,TOTAL,Total transport,2023,,1838292,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BG_LBSF,SOFIA airport,TOT,Total,TOTAL,Total transport,2023,,7166520,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,BG_LBWN,VARNA airport,TOT,Total,TOTAL,Total transport,2023,,1836770,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LFSB,BALE-MULHOUSE airport,TOT,Total,TOTAL,Total transport,2023,,7094605,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSGG,GENEVA airport,TOT,Total,TOTAL,Total transport,2023,,16471574,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSGS,SION airport,TOT,Total,TOTAL,Total transport,2023,,5373,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSZA,LUGANO airport,TOT,Total,TOTAL,Total transport,2023,,368,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSZB,BERN-BELP airport,TOT,Total,TOTAL,Total transport,2023,,42833,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSZH,ZURICH airport,TOT,Total,TOTAL,Total transport,2023,,28854573,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CH_LSZR,ST. GALLEN-ALTENRHEIN airport,TOT,Total,TOTAL,Total transport,2023,,34639,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CY_LCLK,LARNAKA/INTL airport,TOT,Total,TOTAL,Total transport,2023,,8269177,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CY_LCPH,PAFOS/INTL airport,TOT,Total,TOTAL,Total transport,2023,,3564538,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CZ_LKKV,KARLOVY VARY airport,TOT,Total,TOTAL,Total transport,2023,,13801,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CZ_LKMT,OSTRAVA/MOSNOV airport,TOT,Total,TOTAL,Total transport,2023,,353110,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CZ_LKPD,PARDUBICE airport,TOT,Total,TOTAL,Total transport,2023,,122528,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CZ_LKPR,PRAHA/RUZYNE airport,TOT,Total,TOTAL,Total transport,2023,,13817037,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,CZ_LKTB,BRNO/TURANY airport,TOT,Total,TOTAL,Total transport,2023,,696356,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,DE_EDDB,BERLIN-BRANDENBURG airport,TOT,Total,TOTAL,Total transport,2023,,23058827,,,,,
