STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,rep_airp,Reporting airport,schedule,Type of schedule,tra_cov,Transport coverage,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,TOTAL,Total transport,2024-09,,90599,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,TOTAL,Total transport,2024-10,,69767,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,TOTAL,Total transport,2024-11,,59774,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,TOTAL,Total transport,2024-12,,47689,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWI,INNSBRUCK airport,TOT,Total,TOTAL,Total transport,2024-09,,32224,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWI,INNSBRUCK airport,TOT,Total,TOTAL,Total transport,2024-10,,19122,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWI,INNSBRUCK airport,TOT,Total,TOTAL,Total transport,2024-11,,21431,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWI,INNSBRUCK airport,TOT,Total,TOTAL,Total transport,2024-12,,104130,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWK,KLAGENFURT airport,TOT,Total,TOTAL,Total transport,2024-09,,16073,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWK,KLAGENFURT airport,TOT,Total,TOTAL,Total transport,2024-10,,14552,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWK,KLAGENFURT airport,TOT,Total,TOTAL,Total transport,2024-11,,6953,,,,,
