iata_code,month,monthly_flights
AT_LOWG_AT_LOWW,2024-01,9749486042304529976042304529971174859345814
AT_LOWG_AT_LOWW,2024-02,9748496012288431286012288431281153057605770
AT_LOWG_AT_LOWW,2024-03,10351526904333635686904333635681204359636080
AT_LOWG_CH_LSZH,2024-01,301515227910721207227910721207320016001600
AT_LOWG_CH_LSZH,2024-02,341717276213431419276213431419373918721867
AT_LOWG_CH_LSZH,2024-03,381820350518111694350518111694441922012218
AT_LOWG_DE_EDDB,2024-01,16881967961100619679611006287414401434
AT_LOWG_DE_EDDB,2024-02,1899215210961056215210961056324016201620
AT_LOWG_DE_EDDB,2024-03,351718443422732161443422732161622430223202
AT_LOWG_DE_EDDF,2024-01,1296564121885945624312188594562431962498969728
AT_LOWG_DE_EDDF,2024-02,148747413228662466041322866246604218061090310903
AT_LOWG_DE_EDDF,2024-03,168848415884845574291588484557429236911182311868
AT_LOWG_DE_EDDH,2024-01,281414241611821234241611821234477623882388
AT_LOWG_DE_EDDH,2024-02,341717325316411612325316411612529826492649
AT_LOWG_DE_EDDH,2024-03,331617366117991862366117991862549026702820
AT_LOWG_DE_EDDL,2024-01,21111016528058471652805847325016281622
AT_LOWG_DE_EDDL,2024-02,381919293314991434293314991434584429222922
AT_LOWG_DE_EDDL,2024-03,381919341217921620341217921620599229962996
AT_LOWG_DE_EDDM,2024-01,12965647687338643017687338643011327166416630
AT_LOWG_DE_EDDM,2024-02,1597881103454970537510345497053751584077708070
AT_LOWG_DE_EDDM,2024-03,1658283114595874558511459587455851716885368632
AT_LOWG_EG_HEGN,2024-01,1688240812681140240812681140284414221422
AT_LOWG_EG_HEGN,2024-02,221111329915361763329915361763399719981999
AT_LOWG_EG_HEGN,2024-03,241212379319041889379319041889437721902187
AT_LOWG_ES_LEPA,2024-02,1122111111
AT_LOWG_TR_LTAI,2024-01,42215885731588573756378378
AT_LOWG_TR_LTAI,2024-02,422305123182305123182756378378
AT_LOWG_TR_LTAI,2024-03,147711574776801157477680263613181318
