airport_code,airport_name,city_code,city_name,country_code,country_name,latitude,longitude
AMS,SCHIPHOL AIRPORT,AMS,AMSTERDAM,NL,NETHERLANDS,52.3083,4.7681
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TPE,TAIPEI,TW,CHINESE TAIPEI,25.0711,121.5436
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MNL,MANILA,PH,PHILIPPINES,14.51,121.0183
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUL,KUALA LUMPUR,MY,MALAYSIA,2.7433,101.6933
CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JKT,JAKARTA,ID,INDONESIA,-6.1167,106.65
SIN,CHANGI AIRPORT,SIN,SINGAPORE,SG,SINGAPORE,1.3581,103.9106
DPS,NGURAH RAI AIRPORT,DPS,DENPASAR-BALI,ID,INDONESIA,-8.7486,115.165
LHR,HEATHROW AIRPORT,LON,LONDON,GB,UNITED KINGDOM,51.4714,-0.4528
SYD,KINGSFORD SMITH AIRPORT,SYD,SYDNEY,AU,AUSTRALIA,-33.9442,151.1758
EZE,MINISTRO PISTARINI AIRPORT,BUE,BUENOS AIRES,AR,ARGENTINA,-34.82,-58.5339
SCL,ARTURO MERINO BENITEZ AIRPORT,SCL,SANTIAGO,CL,CHILE,-33.3833,-70.7833
MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MKE,MILWAUKEE,US,UNITED STATES,42.9503,-87.8972
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DTT,DETROIT,US,UNITED STATES,42.2186,-83.3486
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEA,SEATTLE,US,UNITED STATES,47.4472,-122.3056
PDX,PORTLAND INTERNATIONAL AIRPORT,PDX,PORTLAND,US,UNITED STATES,45.5892,-122.595
MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MSP,MINNEAPOLIS/ST PAUL,US,UNITED STATES,44.8861,-93.2178
CLE,HOPKINS INTERNATIONAL AIRPORT,CLE,CLEVELAND,US,UNITED STATES,41.4119,-81.8481
BNA,NASHVILLE INTERNATIONAL AIRPORT,BNA,NASHVILLE,US,UNITED STATES,36.1267,-86.6819
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATL,ATLANTA,US,UNITED STATES,33.6408,-84.4272
IND,INDIANAPOLIS INTERNATIONAL AIRPORT,IND,INDIANAPOLIS,US,UNITED STATES,39.7289,-86.2817
CLT,DOUGLAS INTERNATIONAL AIRPORT,CLT,CHARLOTTE,US,UNITED STATES,35.2192,-80.9358
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SLC,SALT LAKE CITY,US,UNITED STATES,40.7842,-111.9669
SNA,JOHN WAYNE AIRPORT,SNA,SANTA ANA,US,UNITED STATES,33.6756,-117.8669
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GSO,GREENSBORO/HIGH POINT,US,UNITED STATES,36.0919,-79.9428
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SFO,SAN FRANCISCO,US,UNITED STATES,37.6194,-122.3728
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LAX,LOS ANGELES,US,UNITED STATES,33.9422,-118.4072
SJC,SAN JOSE INTERNATIONAL AIRPORT,SJC,SAN JOSE,US,UNITED STATES,37.3611,-121.9256
YVR,VANCOUVER INTERNATIONAL AIRPORT,YVR,VANCOUVER,CA,CANADA,49.1872,-123.1853
JAC,JACKSON HOLE AIRPORT,JAC,JACKSON,US,UNITED STATES,43.6067,-110.7369
JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NYC,NEW YORK,US,UNITED STATES,40.6386,-73.7769
ICT,DWIGHT D. EISENHOWER AIRPORT,ICT,WICHITA,US,UNITED STATES,37.6525,-97.4283
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUS,AUSTIN,US,UNITED STATES,30.2,-97.6667
MIA,MIAMI INTERNATIONAL AIRPORT,MIA,MIAMI,US,UNITED STATES,25.7925,-80.2861
ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT,ECP,PANAMA CITY,US,UNITED STATES,30.3578,-85.7989
MCI,KANSAS CITY INTERNATIONAL AIRPORT,MKC,KANSAS CITY,US,UNITED STATES,39.2928,-94.7267
PIT,PITTSBURGH INTERNATIONAL AIRPORT,PIT,PITTSBURGH,US,UNITED STATES,40.4967,-80.2358
GEG,SPOKANE INTERNATIONAL AIRPORT,GEG,SPOKANE,US,UNITED STATES,47.6169,-117.5372
RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FMY,FORT MYERS,US,UNITED STATES,26.5333,-81.75
CHS,CHARLESTON INTERNATIONAL AIRFORCE BASE,CHS,CHARLESTON,US,UNITED STATES,32.8992,-80.0389
BZN,YELLOWSTONE INTERNATIONAL AIRPORT,BZN,BOZEMAN,US,UNITED STATES,45.7803,-111.1594
ASE,PITKIN COUNTY AIRPORT,ASE,ASPEN,US,UNITED STATES,39.2242,-106.8689
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT,MFR,MEDFORD,US,UNITED STATES,42.3736,-122.8722
HPN,WESTCHESTER COUNTY AIRPORT,HPN,WESTCHESTER COUNTY,US,UNITED STATES,41.0689,-73.7078
DEN,DENVER INTERNATIONAL AIRPORT,DEN,DENVER,US,UNITED STATES,39.8547,-104.7181
BHM,SHUTTLESWORTH INTERNATIONAL AIRPORT,BHM,BIRMINGHAM,US,UNITED STATES,33.5631,-86.7556
SMF,SACRAMENTO INTERNATIONAL AIRPORT,SAC,SACRAMENTO,US,UNITED STATES,38.6956,-121.5983
TUS,TUCSON INTERNATIONAL AIRPORT,TUS,TUCSON,US,UNITED STATES,32.125,-110.9492
PWM,PORTLAND INTERNATIONAL JETPORT,PWM,PORTLAND,US,UNITED STATES,43.6444,-70.3036
CUN,CANCUN INTERNATIONAL AIRPORT,CUN,CANCUN,MX,MEXICO,21.0333,-86.8667
CMH,PORT COLUMBUS INTERNATIONAL AIRPORT,CMH,COLUMBUS,US,UNITED STATES,39.9911,-82.8783
PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PSP,PALM SPRINGS,US,UNITED STATES,33.8267,-116.505
SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN,SAN DIEGO,US,UNITED STATES,32.7328,-117.1872
BIS,BISMARCK MUNICIPAL AIRPORT,BIS,BISMARCK,US,UNITED STATES,46.7739,-100.75
