airport_code,airport_name,city,country,latitude,longitude,distance_from_ams,klm_departures,klm_arrivals,klm_total_flights,route_diversity,delay_rate,delay_count,total_tracked_flights
BKK,SUVARNABHUMI INTERNATIONAL AIRPORT,BANGKOK,THAILAND,13.6858,100.7489,9207.006579702922,1.0,1.0,2.0,2,0.0,0,2
TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,8750.018046460778,1.0,2.0,3.0,2,1.0,3,3
MLB,MELBOURNE INTERNATIONAL AIRPORT,MELBOURNE,UNITED STATES,28.1025,-80.6303,7274.00938893571,1.0,1.0,2.0,1,1.0,2,2
OMA,EPPLEY AIRFIELD,OMAHA,UNITED STATES,41.3025,-95.8942,7123.998996538575,1.0,1.0,2.0,2,0.5,1,2
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GREENSBORO/HIGH POINT,UNITED STATES,36.0919,-79.9428,6585.355544933463,1.0,2.0,3.0,1,1.0,3,3
SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO,UNITED STATES,32.7328,-117.1872,9011.722138043095,4.0,5.0,9.0,4,0.5555555555555556,5,9
SJC,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,UNITED STATES,37.3611,-121.9256,8790.870640801586,2.0,3.0,5.0,2,0.6,3,5
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,52.3083,4.7681,0.0,5.0,1.0,6.0,6,0.16666666666666666,1,6
ORF,NORFOLK INTERNATIONAL AIRPORT,NORFOLK,UNITED STATES,36.8958,-76.2014,6283.405975649079,1.0,0.0,1.0,1,0.0,0,1
MRS,PROVENCE AIRPORT,MARSEILLE,FRANCE,43.4356,5.2164,987.1618080431457,1.0,1.0,2.0,2,0.0,0,2
LWS,NEZ PERCE COUNTY AIRPORT,LEWISTON,UNITED STATES,46.3747,-117.0144,7725.219025492354,1.0,1.0,2.0,1,0.0,0,2
TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,27.9731,-82.5353,7409.569093447613,5.0,4.0,9.0,3,0.6666666666666666,6,9
BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,5547.597657404642,11.0,8.0,19.0,10,0.3157894736842105,6,19
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,7840.240090199474,13.0,18.0,31.0,16,0.6451612903225806,20,31
DAL,LOVE FIELD,DALLAS,UNITED STATES,32.8469,-96.8533,7893.755923243684,1.0,1.0,2.0,1,1.0,2,2
SAV,HILTON HEAD INTERNATIONAL AIRPORT,SAVANNAH,UNITED STATES,32.1272,-81.1994,6982.088958189783,1.0,0.0,1.0,1,1.0,1,1
PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS,UNITED STATES,33.8267,-116.505,8874.940734062156,1.0,1.0,2.0,1,0.0,0,2
VPS,FT. WALTON BEACH AIRPORT,DESTIN/FT WALTON BEACH,UNITED STATES,30.4894,-86.5272,7458.000549174578,2.0,2.0,4.0,1,1.0,4,4
HOU,HOBBY AIRPORT,HOUSTON,UNITED STATES,29.645,-95.2786,8075.022783340951,1.0,1.0,2.0,1,1.0,2,2
BUR,BOB HOPE AIRPORT,BURBANK,UNITED STATES,34.2,-118.3578,8929.316216864647,1.0,1.0,2.0,1,0.0,0,2
AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUSTIN,UNITED STATES,30.2,-97.6667,8171.212301669335,1.0,1.0,2.0,1,0.0,0,2
