flight_number,flight_date,flight_id,airline_code,airline_name,status,origin,destination,leg_status,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,aircraft_type,aircraft_code,scheduled_duration
313,2025-05-18,20250518+DL+0313,DL,DELTA AIR LINES INC.,ON_TIME,JFK,DEN,CANCELLED,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,39.8547,-104.7181,2025-05-18T23:59:00.000-06:00,2025-05-18T23:59:00.000-06:00,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-19T05:44:00.000-04:00,2025-05-19T05:44:00.000-04:00,2025-05-19T05:44:00.000-04:00,BOEING 737-900 PASSENGER,739,PT3H45M
313,2025-05-18,20250518+DL+0313,DL,DELTA AIR LINES INC.,ON_TIME,JFK,DEN,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T20:22:00.000-04:00,2025-05-17T20:22:00.000-04:00,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,2025-05-17T21:26:00.000-07:00,2025-05-17T21:26:00.000-07:00,2025-05-17T21:26:00.000-07:00,AIRBUS A321,321,PT4H4M
313,2025-05-18,20250518+DL+0313,DL,DELTA AIR LINES INC.,ON_TIME,JFK,DEN,ARRIVED,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6386,-73.7769,2025-05-18T19:59:00.000-04:00,2025-05-18T19:59:00.000-04:00,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,39.8547,-104.7181,2025-05-18T22:45:00.000-06:00,2025-05-18T22:45:00.000-06:00,2025-05-18T22:45:00.000-06:00,AIRBUS A321NEO,32Q,PT4H46M
2343,2025-05-18,20250518+DL+2343,DL,DELTA AIR LINES INC.,ON_TIME,ATL,FLL,CANCELLED,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,2025-05-17T17:35:00.000-07:00,2025-05-17T17:35:00.000-07:00,SJC,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,UNITED STATES,37.3611,-121.9256,2025-05-17T19:48:00.000-07:00,2025-05-17T19:48:00.000-07:00,2025-05-17T19:48:00.000-07:00,AIRBUS A220-100 PASSENGER,221,PT2H13M
2343,2025-05-18,20250518+DL+2343,DL,DELTA AIR LINES INC.,ON_TIME,ATL,FLL,CANCELLED,RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,UNITED STATES,35.8753,-78.7819,2025-05-18T20:20:00.000-04:00,2025-05-18T20:20:00.000-04:00,BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,2025-05-18T22:27:00.000-04:00,2025-05-18T22:27:00.000-04:00,2025-05-18T22:27:00.000-04:00,AIRBUS A319,319,PT2H7M
2343,2025-05-18,20250518+DL+2343,DL,DELTA AIR LINES INC.,ON_TIME,ATL,FLL,CANCELLED,FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,2025-05-18T10:11:00.000-04:00,2025-05-18T10:11:00.000-04:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T12:14:00.000-04:00,2025-05-18T12:14:00.000-04:00,2025-05-18T12:14:00.000-04:00,BOEING 757 PASSENGER,757,PT2H3M
2343,2025-05-18,20250518+DL+2343,DL,DELTA AIR LINES INC.,ON_TIME,ATL,FLL,CANCELLED,BOS,EDWARD L. LOGAN INTERNATIONAL AIRPORT,BOSTON,UNITED STATES,42.365,-71.0053,2025-05-18T17:05:00.000-04:00,2025-05-18T17:05:00.000-04:00,RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,UNITED STATES,35.8753,-78.7819,2025-05-18T19:10:00.000-04:00,2025-05-18T19:10:00.000-04:00,2025-05-18T19:10:00.000-04:00,AIRBUS A319,319,PT2H5M
2343,2025-05-18,20250518+DL+2343,DL,DELTA AIR LINES INC.,ON_TIME,ATL,FLL,ARRIVED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T08:15:00.000-04:00,2025-05-18T08:15:00.000-04:00,FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,2025-05-18T10:11:00.000-04:00,2025-05-18T10:11:00.000-04:00,2025-05-18T10:11:00.000-04:00,BOEING 757 PASSENGER,757,PT1H56M
913,2025-05-18,20250518+DL+0913,DL,DELTA AIR LINES INC.,ON_TIME,DTW,PDX,CANCELLED,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,39.8547,-104.7181,2025-05-18T12:20:00.000-06:00,2025-05-18T12:20:00.000-06:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T17:04:00.000-04:00,2025-05-18T17:04:00.000-04:00,2025-05-18T17:04:00.000-04:00,AIRBUS A321,321,PT2H44M
913,2025-05-18,20250518+DL+0913,DL,DELTA AIR LINES INC.,ON_TIME,DTW,PDX,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T12:40:00.000-04:00,2025-05-18T12:40:00.000-04:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T14:44:00.000-07:00,2025-05-18T14:44:00.000-07:00,2025-05-18T14:44:00.000-07:00,AIRBUS A321,321,PT5H4M
