iata,city,country,name_english,name_dutch
AAA,,French Polynes,"Anaa, TU","Anaa, TU"
AAB,,Australia,"Arrabury, QL","Arrabury, QL"
AAC,Al-Arish,Egypt,Al-Arish,Al-Arish
AAD,Ad-Dabbah,Sudan,Ad-Dabbah,Ad-Dabbah
AAE,Annaba,Algeria,Annaba,Annaba
AAF,Apalachicola,USA,"Municipal, FL","Municipal, FL"
AAG,,Brazil,"Arapoti, PR","Arapoti, PR"
AAH,Aachen,Germany,Merzbrueck,Merzbrueck
AAI,,Brazil,"Arraias, TD","Arraias, TD"
AAJ,Awaradam,Surinam,Cayana Airstrip,Cayana Airstrip
AAK,,Kiribati,Aranuka,Aranuka
AAL,Aalborg,Denmark,Aalborg,Aalborg
AAM,,South Africa,Malamala,Malamala
AAN,Al Ain,United Arab Emirates (the),Al Ain,Al Ain
AAO,,Venezuela,"Anaco, AN","Anaco, AN"
AAP,Houston,USA,"Andrau Airpark, TX","Andrau Airpark, TX"
AAQ,Anapa,Russia (CIS),Vitiazevo,Vitiazevo
AAR,Aarhus,Denmark,Aarhus,Aarhus
AAS,,Indonesia,Apalapsili,Apalapsili
AAT,,China,Altay,Altay
