flight_name,flight_number,airline_code,airline_code_icao,flight_direction,schedule_date,schedule_time,terminal,gate,pier,service_type,destinations,eu,flight_states,estimatedLandingTime,actualLandingTime,aircraft_type,publicEstimatedOffBlockTime,actualOffBlockTime,expectedTimeBoarding,expectedTimeGateClosing
HV5352,5352,HV,TRA,A,2025-05-19,00:05:00,1.0,,,J,FAO,S,"ARR, EXP",2025-05-19T01:04:49.000+02:00,2025-05-19T01:04:49.000+02:00,32S,,,,
KL3282,3282,KL,KLM,A,2025-05-19,00:05:00,1.0,,,J,FAO,S,"ARR, EXP",2025-05-19T01:04:49.000+02:00,2025-05-19T01:04:49.000+02:00,32S,,,,
HV5314,5314,HV,TRA,A,2025-05-19,00:05:00,1.0,,,J,LCA,E,"ARR, EXP",2025-05-18T23:44:22.000+02:00,2025-05-18T23:44:22.000+02:00,737,,,,
KL2756,2756,KL,KLM,A,2025-05-19,00:05:00,1.0,,,J,LCA,E,"ARR, EXP",2025-05-18T23:44:22.000+02:00,2025-05-18T23:44:22.000+02:00,737,,,,
HV5952,5952,HV,TRA,A,2025-05-19,00:05:00,1.0,,,J,LIS,S,"ARR, EXP",2025-05-19T00:18:58.000+02:00,2025-05-19T00:18:58.000+02:00,32S,,,,
HV6004,6004,HV,TRA,A,2025-05-19,00:10:00,1.0,,,J,OPO,S,"ARR, EXP",2025-05-18T23:51:39.000+02:00,2025-05-18T23:51:39.000+02:00,737,,,,
HV5134,5134,HV,TRA,A,2025-05-19,00:10:00,1.0,,,J,BCN,S,ARR,2025-05-19T00:06:25.000+02:00,2025-05-19T00:06:25.000+02:00,737,,,,
HV6118,6118,HV,TRA,A,2025-05-19,00:10:00,1.0,,,J,AGP,S,ARR,2025-05-19T00:08:34.000+02:00,2025-05-19T00:08:34.000+02:00,737,,,,
KL2652,2652,KL,KLM,A,2025-05-19,00:10:00,1.0,,,J,AGP,S,ARR,2025-05-19T00:08:34.000+02:00,2025-05-19T00:08:34.000+02:00,737,,,,
MP8371,8371,MP,MPH,D,2025-05-19,00:15:00,,,,F,JNB,N,DEP,,,74F,2025-05-19T00:15:00.000+02:00,2025-05-19T00:24:10.000+02:00,,
HV174,174,HV,TRA,A,2025-05-19,00:20:00,3.0,,,J,AYT,N,ARR,2025-05-19T00:13:35.000+02:00,2025-05-19T00:13:35.000+02:00,32S,,,,
HV6150,6150,HV,TRA,A,2025-05-19,00:25:00,1.0,,,J,ALC,S,"ARR, EXP",2025-05-19T00:03:23.000+02:00,2025-05-19T00:03:23.000+02:00,737,,,,
KL2644,2644,KL,KLM,A,2025-05-19,00:25:00,1.0,,,J,ALC,S,"ARR, EXP",2025-05-19T00:03:23.000+02:00,2025-05-19T00:03:23.000+02:00,737,,,,
OR3012,3012,OR,TFL,A,2025-05-19,00:30:00,4.0,,,J,AYT,N,"ARR, EXP",2025-05-19T00:41:35.000+02:00,2025-05-19T00:41:35.000+02:00,737,,,,
