iata_main,iata_sub,short_description,long_description
100,100,FK100,FOKKER 100
146,141,BAE 146-100,BRITISH AEROSPACE 146-100
146,143,BAE 146-300,BRITISH AEROSPACE 146-300
146,142,BAE 146-200P,BRITISH AEROSPACE 146-200 PASSENGER
14F,14Y,BAE 146-200F,BRITISH AEROSPACE 146-200 FREIGHTER
220,221,Airbus A220-1,Airbus A220-100
220,223,Airbus A220-3,Airbus A220-300
310,313,A310-300,AIRBUS A310-300 PASSENGER
31F,31Y,A310-300F,AIRBUS A310-300 FREIGHTER
32S,32X,AIRBUS A321F,AIRBUS A321-200P2F
32S,32A,A320-214 SHARK,AIRBUS A320-214 SHARKLETS
32S,31N,AIRBUS A319 NEO,AIRBUS A319 NEO
32S,318,AIRBUS A318,AIRBUS A318
32S,319,AIRBUS A319,AIRBUS A319
32S,32Q,AIRBUS A321 NEO,AIRBUS A321 NEO (XLR)
32S,321,AIRBUS A321,AIRBUS A321-100/200
32S,32N,AIRBUS A320 NEO,AIRBUS A320 NEO
32S,320,AIRBUS A320,AIRBUS A320
330,339,AIRBUS A330-900,AIRBUS A330-900neo
330,332,AIRBUS A330-200,AIRBUS A330-200
