Dest_ICAO,Flights_2023,Airport_ICAO,Passengers_2023,APT_ICAO,Avg_ATC_Delay_2023,ICAO_Code,IATA_Code,Name,Latitude,Longitude,LongestRunwayLength,LongestRunwaySurface,Type,ISO_Country,HubStatus
BIKF,1937,BIKF,7750094,BIKF,10.152416356877323,BIKF,KEF,Keflavik International Airport,63.985001,-22.6056,10020.0,ASP,large_airport,IS,Hub
EBBR,2572,EBBR,22184622,EBBR,120.41968903620439,EBBR,BRU,Brussels Airport,50.901402,4.48444,9800.0,ASP,large_airport,BE,Hub
EDDB,6134,EDDB,23058827,EDDB,84.92480377627751,EDDB,BER,Berlin Brandenburg Airport,52.362247,13.500672,11811.0,ASPH,large_airport,DE,Hub
EDDF,7193,EDDF,59329128,EDDF,281.1074700588673,EDDF,FRA,Frankfurt Airport,50.036521,8.561268,13123.0,ASP,large_airport,DE,Hub
EDDH,3730,EDDH,13557628,EDDH,75.14549527009316,EDDH,HAM,Hamburg Helmut Schmidt Airport,53.630402,9.98823,10663.0,ASP,large_airport,DE,Hub
EDDL,3151,EDDL,19103068,EDDL,56.62325743921728,EDDL,DUS,Düsseldorf Airport,51.289501,6.76678,8858.0,CON,large_airport,DE,Hub
EDDM,7200,EDDM,37026088,EDDM,53.94325181491531,EDDM,MUC,Munich Airport,48.353802,11.7861,13123.0,CON,large_airport,DE,Hub
EDDN,2220,EDDN,3922742,EDDN,11.249043611323643,EDDN,NUE,Nuremberg Airport,49.498699,11.078056,8858.0,ASP,large_airport,DE,Hub
EDDS,3429,EDDS,8435051,EDDS,15.399730773318218,EDDS,STR,Stuttgart Airport,48.689899,9.22196,10974.0,CON,large_airport,DE,Hub
EDDV,2263,EDDV,4598959,EDDV,15.114444618517938,EDDV,HAJ,Hannover Airport,52.461102,9.68508,1804.0,ASP,large_airport,DE,Hub
EDDW,2021,EDDW,1807897,EDDW,5.5092592592592595,EDDW,BRE,Bremen Airport,53.046786,8.78932,2297.0,ASP,medium_airport,DE,Hub
EETN,782,EETN,2946323,EETN,6.153603089616431,EETN,TLL,Lennart Meri Tallinn Airport,59.4132995605,24.8327999115,11417.0,ASP,large_airport,EE,Hub
EFHK,3679,EFHK,15412126,EFHK,17.96047309011057,EFHK,HEL,Helsinki Vantaa Airport,60.3172,24.963301,10039.0,ASP,large_airport,FI,Hub
EICK,2031,EICK,2798024,EICK,9.640397211071202,EICK,ORK,Cork Airport,51.841301,-8.49111,4298.0,PEM,medium_airport,IE,Hub
EIDW,8836,EIDW,33262941,EIDW,363.3898709720402,EIDW,DUB,Dublin Airport,53.428713,-6.262121,10203.0,CON,large_airport,IE,Hub
EKCH,9454,EKCH,26739755,EKCH,215.5885379533248,EKCH,CPH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,11811.0,ASP,large_airport,DK,Hub
ELLX,2247,ELLX,4793539,ELLX,12.652483154479661,ELLX,LUX,Luxembourg-Findel International Airport,49.6233333,6.2044444,13130.0,ASPHALT,large_airport,LU,Hub
ENBR,2810,ENBR,6277297,ENBR,0.4870351323553294,ENBR,BGO,"Bergen Airport, Flesland",60.2934,5.21814,9810.0,ASP,large_airport,NO,Hub
ENCN,1546,ENCN,819758,ENCN,1.1694088970140157,ENCN,KRS,"Kristiansand Airport, Kjevik",58.204201,8.08537,6660.0,ASP,medium_airport,NO,Regional
ENGM,5648,ENGM,25060257,ENGM,29.956387844753408,ENGM,OSL,"Oslo Airport, Gardermoen",60.193901,11.1004,11811.0,ASP,large_airport,NO,Hub
ENVA,1583,ENVA,4109049,ENVA,1.7485736683942337,ENVA,TRD,"Trondheim Airport, Værnes",63.457802,10.924,9052.0,ASP,large_airport,NO,Hub
ENZV,2966,ENZV,3656590,ENZV,0.9524655469422911,ENZV,SVG,"Stavanger Airport, Sola",58.876701,5.63778,8035.0,ASP,large_airport,NO,Hub
EPGD,1980,EPGD,5896105,EPGD,8.530702563156924,EPGD,GDN,Gdańsk Lech Wałęsa Airport,54.377602,18.4662,9186.0,ASP,large_airport,PL,Hub
EPKK,2003,EPKK,9399194,EPKK,47.709691054411316,EPKK,KRK,Kraków John Paul II International Airport,50.077702,19.7848,8366.0,CON,large_airport,PL,Hub
EPWA,5161,EPWA,18491394,EPWA,123.57236071335589,EPWA,WAW,Warsaw Chopin Airport,52.1656990051,20.9671001434,9186.0,CON,large_airport,PL,Hub
ESGG,2979,ESGG,5208411,ESGG,7.7249162502059425,ESGG,GOT,Gothenburg-Landvetter Airport,57.662799835205,12.279800415039,10823.0,ASP,large_airport,SE,Hub
ESSA,5737,ESSA,21965239,ESSA,31.22429131900315,ESSA,ARN,Stockholm-Arlanda Airport,59.651901245117,17.918600082397,10830.0,ASP,large_airport,SE,Hub
EVRA,1622,EVRA,6620657,EVRA,10.278451043338684,EVRA,RIX,Riga International Airport,56.923599,23.9711,10499.0,ASP,large_airport,LV,Hub
EYVI,720,EYVI,4398160,EYVI,10.979066022544284,EYVI,VNO,Vilnius International Airport,54.634102,25.285801,8251.0,ASP,large_airport,LT,Hub
