rep_airp,icao,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AT_LOWG,LOWG,853401.0,1008520.0,1132476.0,1132769.0,1244792.0,1318850.0,1361204.0,1481919.0,1492096.0,0.0,2925983.0,3003904.0,2935298.0,3275598.0,3446765.0,3661903.0,3397038.0,3503870.0,3595677.0,3401762.0,3167319.0,3239992.0,3391109.0,3642050.0,3530008.0,3705701.0,3696285.0,373387.0,431243.0,1058162.0,1367385.0,1477889.0
AT_LOWI,LOWI,844319.0,895427.0,921853.0,961269.0,1001336.0,1177378.0,1271305.0,1371665.0,1341656.0,0.0,2356215.0,2462180.0,2434245.0,2806665.0,3039438.0,3426156.0,3401142.0,3698007.0,3594460.0,3310876.0,3489975.0,3521932.0,3579196.0,3643794.0,3941153.0,4030846.0,4141274.0,584622.0,219495.0,889976.0,1150839.0,1012623.0
AT_LOWK,LOWK,311239.0,333119.0,330381.0,322196.0,353397.0,356129.0,345346.0,389219.0,396310.0,0.0,1130008.0,1799513.0,1954960.0,1600206.0,1802463.0,1654300.0,1573514.0,1629779.0,1439434.0,1058092.0,966973.0,888520.0,903207.0,780797.0,861594.0,908369.0,830054.0,88028.0,57672.0,156690.0,245415.0,220518.0
AT_LOWL,LOWL,670408.0,891624.0,1141919.0,1277552.0,1385813.0,1429272.0,1470253.0,1581779.0,1517379.0,0.0,2249431.0,2521405.0,2392720.0,2743604.0,2761084.0,2824860.0,2418221.0,2427641.0,2273430.0,2080183.0,1787084.0,1860669.0,1803535.0,1617621.0,1513941.0,1668900.0,1527272.0,88001.0,127545.0,355967.0,364865.0,272843.0
AT_LOWS,LOWS,2484947.0,2424646.0,2676534.0,2540833.0,2572020.0,2690386.0,2730728.0,2929835.0,3030936.0,0.0,4080157.0,4562882.0,5517115.0,6350531.0,6400272.0,5798953.0,4962495.0,5272191.0,5648866.0,5614631.0,5508625.0,6104287.0,6223506.0,6180455.0,6739269.0,6414637.0,5901286.0,905307.0,500325.0,1712216.0,2184373.0,2329777.0
AT_LOWW,LOWW,15275515.0,16424691.0,18273539.0,18956053.0,19868692.0,21814387.0,22865233.0,23987388.0,23949412.0,0.0,35560053.0,39960155.0,42064731.0,45504263.0,51618086.0,54776642.0,50096585.0,54228365.0,58352190.0,61108286.0,60119534.0,61901022.0,62737665.0,64968425.0,67082957.0,74097121.0,86929683.0,11180684.0,15215222.0,34296615.0,42165454.0,44913857.0
BA_LQSA,LQSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880676.0,1688073.0,0.0,0.0
BA_LQTZ,LQTZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455505.0,848010.0,0.0,0.0
BE_EBAW,EBAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415166.0,452447.0,407982.0,398722.0,262601.0,364280.0,346561.0,346700.0,270236.0,669972.0,898821.0,882951.0,943524.0,816388.0,96727.0,229285.0,371681.0,404650.0,332679.0
BE_EBBR,EBBR,0.0,0.0,0.0,500657.0,36146349.0,42243714.0,0.0,0.0,45332255.0,32697487.0,46092592.0,45117131.0,45534081.0,47908941.0,50176245.0,49711796.0,44657125.0,43982917.0,48402226.0,47606530.0,48776306.0,58606418.0,64137274.0,62111652.0,69845703.0,69848278.0,71018526.0,8951391.0,12821083.0,24798404.0,29115823.0,30733504.0
BE_EBCI,EBCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7911166.0,7331742.0,8493019.0,9295117.0,11113828.0,14103809.0,18152777.0,20368550.0,22755003.0,23193168.0,21867212.0,23785757.0,25222220.0,26360034.0,27379430.0,27555478.0,4284187.0,6481451.0,13838192.0,15726137.0,17496087.0
