OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y
10,6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,,UNICOM,122.7,4500.0,70.0,ASPH,1.0,0.0,-8936150.2115,2915765.8414
23,7545,0TE7,small_airport,LBJ Ranch Airport,30.251801,-98.622498,1515.0,,US,US-TX,Stonewall,no,0TE7,JCY,0TE7,,,,UNICOM,122.8,6291.0,60.0,ASPH,0.0,0.0,-10978606.2581,3535957.7506
60,20770,2IG4,small_airport,Ed-Air Airport,38.851782,-87.49987,426.0,,US,US-IN,Oaktown,no,KI20,OTN,I20,http://www.edairinc.com/index.html,https://en.wikipedia.org/wiki/Ed-Air_Airport,"2IG4, KOTN, OTN, Emison, Green, Vincennes Executive Inn",UNICOM,122.8,5800.0,100.0,ASPH,1.0,0.0,-9740440.9729,4700462.7988
296,4650,03N,small_airport,Utirik Airport,11.222219,169.851429,4.0,OC,MH,MH-UTI,Utirik Island,yes,,UTK,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,,,,2400.0,50.0,GRVL,0.0,0.0,18907774.5868,1257316.6756
640,7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,,US,US-AK,Pilot Station,yes,,PQS,0AK,,https://en.wikipedia.org/wiki/Pilot_Station_Airport,,,,2541.0,55.0,GRVL-F,1.0,0.0,-18133944.3823,8843652.231
711,7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980.0,,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2,,,Buckhorn Ranch,,,4000.0,40.0,ASPH,1.0,0.0,-11903208.4715,4700482.239
1417,7866,13Z,seaplane_base,Loring Seaplane Base,55.601299,-131.636993,,,US,US-AK,Loring,no,P13Z,WLR,13Z,,,Naha Bay,,,10000.0,2000.0,WATER,0.0,0.0,-14653763.0303,7479451.5526
1520,7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,,,,2420.0,75.0,GRVL-G,1.0,0.0,-18082788.6235,8604177.6376
1539,7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0.0,,US,US-AK,Port Alice,no,16K,PTC,16K,,,,,,10000.0,1000.0,WATER,0.0,0.0,-14871950.0115,7519298.0673
1677,8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,,US,US-AK,Icy Bay,no,19AK,ICY,19AK,,https://en.wikipedia.org/wiki/Icy_Bay_Airport,,,,3430.0,55.0,GRAVEL-F,0.0,0.0,-15769532.2015,8392231.8801
1711,8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,,,,4000.0,1000.0,WATER,0.0,0.0,-14873397.2328,7624150.8701
1924,8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC,,,,,,4000.0,140.0,GRVL,0.0,0.0,-17457166.2512,9456359.1812
2093,8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,,US,US-CA,Dunsmuir,no,K1O6,MHS,1O6,,https://en.wikipedia.org/wiki/Dunsmuir_Municipal-Mott_Airport,,,,2700.0,60.0,ASPH-G,0.0,0.0,-13611257.1122,5051241.3127
2276,8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190.0,,US,US-TX,Beeville,no,,NIR,TX2,,https://en.wikipedia.org/wiki/Chase_Field_Industrial_Complex,"1XA2, Naval Air Station Chase Field, Beeville Municipal Airport",,,8000.0,200.0,ASPH-CONC,0.0,0.0,-10871674.8703,3294747.0139
2295,8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,4100.0,,US,US-AZ,Littlefield,no,,GCT,1Z1,,https://en.wikipedia.org/wiki/Grand_Canyon_Bar_10_Airport,Webbs Ranch,,,4600.0,40.0,DIRT-G,0.0,0.0,-12604834.9618,4336264.8568
2296,8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,,US,US-AK,Ellamar,no,,ELW,1Z9,,,,,,8000.0,4000.0,WATER,0.0,0.0,-16331018.8075,8601482.8877
2850,9287,2AK,small_airport,Lime Village Airport,61.3591003418,-155.440002441,552.0,,US,US-AK,Lime Village,no,2AK,LVD,2AK,,,23AK,,,1500.0,55.0,GRVL-F,0.0,0.0,-17303501.9206,8708748.2161
2857,9294,2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534.0,,US,US-AK,Hogatza,no,2AK6,HGZ,2AK6,,,,,,5500.0,125.0,TURF-GRVL,0.0,0.0,-17328994.5136,9936242.9631
3063,9485,2K5,small_airport,Telida Airport,63.393901824951,-153.26899719238,650.0,,US,US-AK,Telida,no,2K5,TLF,2K5,,https://en.wikipedia.org/wiki/Telida_Airport,,,,1900.0,40.0,TURF-DIRT-P,0.0,0.0,-17061826.7218,9197494.8161
3354,9776,2TE0,small_airport,Eagle Air Park,28.982200622559,-95.579696655273,15.0,,US,US-TX,Brazoria,no,2TE0,BZT,2TE0,,,Hinkles Ferry,,,2700.0,140.0,TURF-G,0.0,0.0,-10639883.1618,3373380.7681
3482,9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0.0,,US,US-AK,Entrance Island,no,,HBH,,,,2Z1,,,5000.0,500.0,WATER,0.0,0.0,-14854303.6458,7844839.8622
3486,9906,2Z6,seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,,US,US-AK,False Island,no,2Z6,FAK,2Z6,,,,,,4000.0,500.0,WATER-E,0.0,0.0,-15051842.0233,7869682.728
3919,10309,38WA,small_airport,Blakely Island Airport,48.578999,-122.825996,66.0,,US,US-WA,Blakely Island,yes,38WA,BYW,38WA,,,,,,2200.0,40.0,ASPH,1.0,0.0,-13672927.3309,6203725.917
3978,10366,3AK5,small_airport,Drift River Airport,60.5889015198,-152.162002563,30.0,,US,US-AK,Kenai,no,3AK5,DRF,3AK5,,,,,,4100.0,150.0,GRAVEL,1.0,0.0,-16938596.6434,8532033.7879
4141,10532,3IS8,small_airport,Rinkenberger Restricted Landing Area,41.2308998108,-89.6156997681,808.0,,US,US-IL,Bradford,no,3IS8,BDF,3IS8,,,,,,2614.0,190.0,TURF,0.0,0.0,-9975974.0653,5046459.2208
4390,10784,3T4,small_airport,Tetlin Airport,63.124618,-142.518005,1663.0,,US,US-AK,Tetlin,no,3T4,TEH,3T4,,,,,,3300.0,75.0,GRVL-E,1.0,0.0,-15865031.7455,9130872.9491
4466,10856,3VS,small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,1030.0,,US,US-MO,Versailles,no,3VS,VRS,3VS,,,,,,2805.0,39.0,ASPH-E,1.0,0.0,-10338819.7892,4640037.0189
4524,10905,3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,91.0,,US,US-AK,Golden Horn Lodge,no,3Z8,GDH,3Z8,,,,,,5000.0,1500.0,WATER,0.0,0.0,-17685884.0998,8343624.7205
5050,14270,7NC2,small_airport,Pine Island Airport,36.2535018921,-75.7884979248,16.0,,US,US-NC,Corolla,no,7NC2,DUF,7NC2,,https://en.wikipedia.org/wiki/Pine_Island_Airport,,MULT,122.9,3450.0,55.0,ASPH,0.0,0.0,-8436736.997,4335559.1402
5064,19113,89NY,small_airport,Maxson Airfield,44.312002,-75.90034,340.0,,US,US-NY,Alexandria Bay,no,89NY,AXB,89NY,https://web.archive.org/web/20161108041600/http://www.maxsonairfield.com/,https://en.wikipedia.org/wiki/Maxson_Airfield,89N,CTAF/UNICOM,122.8,4280.0,60.0,ASPH-F,1.0,0.0,-8449187.1998,5513852.8495
5070,15267,8XS8,small_airport,Reese Airpark,33.590301513672,-102.03700256348,3338.0,,US,US-TX,Lubbock,no,8XS8,REE,8XS8,http://reesetechnologycenter.com/index.php/facilities/airfield-pad-site-development,https://en.wikipedia.org/wiki/Reese_Air_Force_Base,,FORT WORTH CNTR,127.45,6500.0,150.0,ASPH-CONC-P,0.0,0.0,-11358707.1674,3973921.3045
5495,11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17.0,,US,US-AK,Atmautluak,yes,,ATT,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK,,,3000.0,75.0,GRAVEL-G,1.0,0.0,-18064147.2842,8595279.3373
5498,11320,4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425.0,,US,US-AK,Livengood,no,4AK,LIV,4AK,,,,,,1415.0,50.0,GRAVEL-G,0.0,0.0,-16548020.7927,9732470.4874
5656,11485,4K0,small_airport,Pedro Bay Airport,59.796925,-154.129994,45.0,,US,US-AK,Pedro Bay,no,4K0,PDB,4K0,,,,,,3000.0,60.0,GRVL-G,1.0,0.0,-17157672.4481,8354663.5978
5657,11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55.0,,US,US-AK,Ouzinkie,yes,,KOZ,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,,,,3300.0,80.0,GRVL-G,1.0,0.0,-16972249.7986,7955163.117
5658,11488,4KA,small_airport,Tununak Airport,60.575500488281,-165.27200317383,14.0,,US,US-AK,Tununak,no,4KA,TNK,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,,,,1778.0,30.0,GRVL-P,1.0,0.0,-18397995.2357,8528996.5853
5991,11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,,,,10000.0,1000.0,WATER,0.0,0.0,-14472644.215,7539194.2214
6081,11900,51Z,small_airport,Minto Al Wright Airport,65.1437,-149.369995,460.0,,US,US-AK,Minto,no,,MNT,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,,,,2000.0,65.0,GRVL-G,0.0,0.0,-16627791.7832,9646324.9137
6307,12114,57A,seaplane_base,Tokeen Seaplane Base,55.9370994568,-133.32699585,,,US,US-AK,Tokeen,no,57A,TKI,57A,,https://en.wikipedia.org/wiki/Tokeen_Seaplane_Base,,,,6000.0,400.0,WATER,0.0,0.0,-14841893.287,7545904.1136
6443,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,,,,2040.0,80.0,GRVL-DIRT-F,0.0,0.0,-17657274.5694,8241720.0056
6623,12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,,,,3893.0,1000.0,WATER,0.0,0.0,-14658216.8118,7430072.6666
6748,12560,5NK,small_airport,Naknek Airport,58.735633,-157.02216,70.0,,US,US-AK,Naknek,no,,NNK,5NK,,https://en.wikipedia.org/wiki/Naknek_Airport,,,,1950.0,50.0,GRVL-F,1.0,0.0,-17479626.8945,8123465.1071
6946,12764,5Z9,seaplane_base,Lake Brooks Seaplane Base,58.554798126221,-155.77699279785,36.0,,US,US-AK,Katmai National Park,no,5Z9,BKF,5Z9,,https://en.wikipedia.org/wiki/Lake_Brooks_Seaplane_Base,,,,5000.0,4000.0,WATER-E,0.0,0.0,-17341015.5156,8084777.5974
