airline_iata,airlineid,source_iata,sourceid,dest_iata,destid,codeshare,stops,aircraft
KL,3090,AAL,628,AMS,580,Y,0,EMJ F70
KL,3090,ABE,4355,ATL,3682,Y,0,CRJ
KL,3090,ABQ,4019,ATL,3682,Y,0,757 320
KL,3090,ABV,260,CDG,1382,Y,0,332
KL,3090,ABV,260,PHC,275,Y,0,332
KL,3090,ABY,5715,ATL,3682,Y,0,CRJ
KL,3090,ABZ,532,AMS,580,,0,737 EMJ F70
KL,3090,ACC,248,AMS,580,,0,330
KL,3090,ADD,1107,JIB,4119,Y,0,EMJ E90
KL,3090,ADD,1107,NBO,4059,Y,0,E90
KL,3090,AES,630,AMS,580,Y,0,EMJ
KL,3090,AEX,3852,ATL,3682,Y,0,CRJ
KL,3090,AGS,3658,ATL,3682,Y,0,CRJ 717
KL,3090,AKU,6404,URC,3399,Y,0,737
KL,3090,ALA,2908,AMS,580,,0,330
KL,3090,ALB,3864,ATL,3682,Y,0,M88 CR9
KL,3090,ALG,210,CDG,1382,Y,0,319
KL,3090,AMS,580,AAL,628,Y,0,F70 EMJ
KL,3090,AMS,580,ABZ,532,,0,EMJ 737 F70
KL,3090,AMS,580,ACC,248,,0,330
KL,3090,AMS,580,AES,630,Y,0,EMJ
KL,3090,AMS,580,ALA,2908,,0,330
KL,3090,AMS,580,ARN,737,,0,737
KL,3090,AMS,580,ATH,3941,,0,737
KL,3090,AMS,580,ATL,3682,,0, 777
KL,3090,AMS,580,AUA,2895,,0,330
KL,3090,AMS,580,AUH,2179,,0,330
KL,3090,AMS,580,BCN,1218,,0,737
KL,3090,AMS,580,BGO,636,,0,F70 EMJ 737
KL,3090,AMS,580,BHX,469,,0,EMJ 737
KL,3090,AMS,580,BKK,3885,,0,777
KL,3090,AMS,580,BLL,608,,0,737 EMJ
KL,3090,AMS,580,BLQ,1538,Y,0,EMJ
KL,3090,AMS,580,BOD,1264,,0,F70
KL,3090,AMS,580,BOM,2997,Y,0,76W
KL,3090,AMS,580,BOS,3448,Y,0,330
KL,3090,AMS,580,BRE,353,Y,0,F70
KL,3090,AMS,580,BRS,490,Y,0,EMJ
